Country,Suicide_rate,ISO-code,Urbanization_rate,Fertility,Life_expectancy,Meat_consumption,Median_age,Population_growth,Sex-ratio,GDP_per_capita,Continent,Population
Myanmar,8.1,MMR,31.1,2.2,66.9,10.7,0,0.85,0.97,7220,Asia,0
Namibia,11.5,NAM,52,3.4,63.4,34,21.2,1.87,0.96,11451,Africa,2540916
Nepal,9.6,NPL,20.6,1.9,70.5,10,24.1,1.16,0.96,3550,Asia,29136808
Netherlands,9.6,NLD,92.2,1.6,82.1,89.3,42.6,0.45,0.98,60299,Europe,17134873
New Zealand,11.6,NZL,86.7,1.7,82.1,142.1,37.9,0.63,1,42045,Oceania,4822233
Nicaragua,11.9,NIC,59,2.4,74.3,14.9,25.7,1.46,0.95,5297,North America,6624554
Niger,9,NER,16.6,5.3,62,11.2,15.4,3.84,0.98,1152,Africa,24206636
Nigeria,17.3,NGA,52,5.4,54.3,8.6,18.4,2.79,1.02,6172,Africa,206139587
North Korea,10.6,PRK,62.4,1.9,0,10.8,34,0.53,0.95,0,Asia,0
North Macedonia,6.2,MKD,58.5,1.5,75.7,35.4,37.9,0.08,0.99,17378,Europe,2083380
Norway,10.1,NOR,83,1.6,82.5,61.7,39.2,1.32,1.02,79638,Europe,5421242
Oman,3.5,OMN,86.3,2.9,77.6,49.8,25.6,9.13,1.18,48593,Asia,5106622
Pakistan,3.1,PAK,37.2,3.5,67.1,12.3,23.8,2.69,1.04,6016,Asia,220892331
Panama,4.4,PAN,68.4,2.5,78.3,54.5,29.2,1.64,1.01,28456,North America,4314768
Papua New Guinea,7,PNG,13.3,3.6,64.3,73,23.1,2.17,1.04,4081,Oceania,8947027
Paraguay,9.3,PRY,62.2,2.4,74.1,70.3,28.2,1.72,1,13213,South America,7132530
Peru,5.1,PER,78.3,2.3,76.5,34.5,28,1.25,0.96,15399,South America,32971846
Philippines,3.7,PHL,47.4,2.6,71.1,31.1,23.5,1.72,1.01,10094,Asia,109581085
Poland,13.4,POL,60,1.5,78.5,78.1,40.7,0.02,0.94,35651,Europe,37846605
Portugal,8.6,PRT,66.3,1.4,81.9,91.1,42.2,-0.29,0.9,34936,Europe,10196707
Qatar,5.8,QAT,99.2,1.9,0,90.5,33.2,7.05,3.39,#N/A,Asia,2881060
Republic of the Congo,9.3,COG,67.8,4.4,64.3,13.3,19.7,2.61,1.01,7336,Africa,0
Romania,8,ROU,56.4,1.8,75.9,54.5,41.1,-0.27,0.95,29555,Europe,19237682
Russia,26.5,RUS,74.8,1.82,72.4,51,39.6,0.4,0.86,30820,Europe,145934460
Rwanda,11,RWA,17.4,4,68.7,4.4,19,2.77,0.96,2642,Africa,12952209
Saint Lucia,7.3,LCA,18.8,0,76.1,124.1,34.8,0.89,0.95,15159,North America,183629
Saint Vincent and the Grenadines,2.4,VCT,53,0,72.4,79.1,33.6,0.01,1.04,12983,North America,110947
Samoa,5.4,WSM,0,3.9,73.2,82.6,24.4,0.78,1.04,6493,Oceania,0
Saudi Arabia,3.4,SAU,84.3,2.3,75,44.6,27.5,1.88,1.3,56912,Asia,34813867
Senegal,11.8,SEN,48.1,4.6,67.7,17.7,18.8,2.92,0.94,4079,Africa,16743930
Serbia,10.9,SRB,56.4,1.5,75.8,0,42.6,-0.48,0.95,19767,Europe,6804596
Seychelles,8.3,SYC,57.5,2.4,73.3,51.1,35.4,0.39,1.07,33118,Africa,98340
Sierra Leone,16.1,SLE,42.9,4.3,54.3,6.1,19,1.91,0.95,1765,Africa,7976985
Singapore,7.9,SGP,100,1.1,83.8,71.1,34.6,2.45,0.96,105689,Asia,5850343
Slovakia,10.1,SVK,53.8,0,77.4,67.4,40.5,0.22,0.94,38321,Europe,5459643
Slovenia,13.3,SVN,55.1,1.6,81.2,88,44.5,0.26,1,40344,Europe,2078932
Solomon Islands,5.9,SLB,24.7,4.4,72.8,9.7,22.5,2.13,1.04,2363,Oceania,0
Somalia,8.3,SOM,46.1,6.1,56.7,9.5,18.1,2.86,1.02,314.5,Africa,15893219
South Africa,12.8,ZAF,67.4,2.4,63.9,39,27.1,1.18,0.98,13965,Africa,59308690
South Korea,20.2,KOR,81.4,1.6,0,48,41.8,0.45,1.01,46452,Asia,0
South Sudan,6.1,SSD,20.2,4.7,57.6,13.1,17.3,4.3,1.06,1715,Africa,11193729
Spain,6.1,ESP,80.8,1.3,83.4,118.6,42.7,0.09,0.98,43007,Europe,46754783
Sri Lanka,14.2,LKA,18.7,2.2,76.8,6.6,32.8,1.04,0.95,14509,Asia,21413250
Sudan,9.5,SDN,35.3,4.4,65.1,21,19.9,2.08,1.01,3986,Africa,43849269
Suriname,23.2,SUR,66.1,2.4,71.6,40.3,29.8,0.9,1.01,16044,South America,586634
Sweden,13.8,SWE,88,1.8,82.7,76.1,41.2,0.71,1,55989,Europe,10099270
Switzerland,11.3,CHE,73.9,1.5,0,72.9,42.4,1.07,0.98,67558,Europe,8654618
Syria,2.4,SYR,55.5,2.8,71.8,21.2,24.3,1.97,1,#N/A,Asia,17500657
Tajikistan,3.3,TJK,27.5,3.6,70.9,8.7,24.5,2.45,0.99,3751,Asia,9537642
Tanzania,9.6,TZA,35.2,4.9,65,10,17.7,3.04,1,3652,Africa,56320000
Thailand,12.9,THA,51.4,1.5,76.9,27.9,37.7,0.31,0.96,21361,Asia,69799978
The Bahamas,1.6,BHS,83.2,1.8,73.8,123.6,32,1.52,0.96,33432,Africa,0
The Gambia,10,GMB,62.6,5.2,61.7,5.2,21,3.19,0.98,2892,Africa,0
Togo,16.6,TGO,42.8,4.3,60.8,8.5,19.8,2.6,0.98,1913,Africa,8278737
Trinidad and Tobago,12.9,TTO,53.2,1.7,73.4,57.8,36,0.33,1.03,33713,North America,1399491
Tunisia,3.2,TUN,69.6,2.2,76.5,25.5,31.6,0.97,0.99,13093,Africa,11818618
Turkey,7.2,TUR,76.1,2.1,78.3,19.3,30.9,1.28,1.01,29327,Asia,84339067
Turkmenistan,7.2,TKM,52.5,2.8,68.1,41.7,27.9,1.29,0.98,21855,Asia,0
Uganda,20,UGA,25,5,63,11.7,15.8,3.35,0.94,2753,Africa,45741000
Ukraine,18.5,UKR,69.6,1.3,72,32.3,40.6,-0.25,0.86,10130,Europe,43733759
United Arab Emirates,2.7,ARE,87,1.4,77.8,74.4,30.3,3.1,2.56,70441,Asia,9890400
United Kingdom,7.6,GBR,83.9,1.7,81.2,79.6,40.5,0.75,0.99,48169,Europe,67886004
United States,13.7,USA,82.7,1.7,78.9,124.8,38.1,0.74,0.97,67426,North America,331002647
Uruguay,16.5,URY,95.5,2,77.8,98.6,35,0.35,0.94,24516,South America,3473727
Uzbekistan,7.4,UZB,50.4,2.4,71.5,20.7,28.6,1.47,0.99,9595,Asia,33469199
Vanuatu,5.4,VUT,25.5,3.8,70.3,32.6,22,2.24,0.99,3039,Oceania,0
Venezuela,3.8,VEN,88.3,2.3,72.1,56.6,28.3,1.53,0.99,16055,South America,28435943
Vietnam,7,VNM,37.3,2,75.3,28.6,30.5,1.06,1.01,8677,Asia,97338583
Yemen,9.8,YEM,36.6,3.8,66.1,14.7,19.5,2.33,1.02,2312,Asia,29825968
Zambia,11.3,ZMB,44.6,4.6,63.5,11.9,16.8,3.19,1,4174,Africa,18383956
Zimbabwe,19.1,ZWE,32.2,3.6,61.2,15.2,20,2.7,0.96,2778,Africa,14862927
